cell_ID	tissue	background	total_counts	mitochondrial_fraction	cell_type	cluster	tsne_x	tsne_y
121879202817892	spleen	human	13450	0.01828996282527881	cDC1	5	-2.6321998218473306	-21.255013568394098
121879203067758	spleen	human	10080	0.031646825396825395	CLEC10A+ cDC2	1	-4.649850336559292	-2.7526687766970355
121879203105702	spleen	human	14222	0.01687526367599494	cDC1	5	-0.16752866986755255	-16.912714925852097
121896068406045	spleen	human	8635	0.02478286045165026	CLEC10A+ cDC2	0	-7.026885581310122	15.337325587530428
121896082271005	spleen	human	6851	0.05999124215443001	CLEC10A- cDC2	3	15.611958021154749	6.807863570344452
121896083020532	spleen	human	11296	0.027443342776203965	AS DC	6	11.557599554756093	1.7901225946197086
121896094816109	spleen	human	13668	0.0188030436055019	cDC1	5	0.04737924502249553	-18.2662749093276
121896095594286	spleen	human	9162	0.024448810303427198	CLEC10A+ cDC2	0	-5.312725639174937	15.385864890176528
121896095602972	spleen	human	8045	0.04002486016159105	CLEC10A- cDC2	3	15.760208910112988	3.5697154891978253
121896114177949	spleen	human	10337	0.029989358614685113	CLEC10A+ cDC2	0	-2.597106049133312	17.072991941582064
121896114501933	spleen	human	9986	0.02743841377929101	AS DC	6	11.117859122748037	0.3827725712391574
121896114543396	spleen	human	7948	0.025541016607951685	CLEC10A+ cDC2	0	-3.0515391541914796	9.382891716023606
121955392048493	spleen	human	8849	0.03096395072889592	cDC1	2	0.5284056245975414	-27.895309927562668
121955406465766	spleen	human	8778	0.035771246297562086	CLEC10A+ cDC2	0	2.293084412089008	9.812165308715885
121955406694251	spleen	human	6493	0.033112582781456956	CLEC10A+ cDC2	0	-1.3687801093716456	13.520337268475268
121955407224164	spleen	human	9322	0.028641922334263034	CLEC10A+ cDC2	0	-7.1984704164264555	10.936085970102805
121955438221734	spleen	human	12324	0.0250730282375852	CLEC10A- cDC2	4	2.4661110530664714	5.882025611368856
121955438414179	spleen	human	10493	0.032879062231964164	CLEC10A+ cDC2	0	-2.7163203494948926	13.969003274176618
121955438680365	spleen	human	9876	0.027744025921425677	cDC1	5	-5.859965158179276	-22.239067110357173
121955438738220	spleen	human	8462	0.02363507445048452	CLEC10A+ cDC2	1	-7.981203494254685	-3.4323626050355336
121965726583531	spleen	human	8715	0.029259896729776247	CLEC10A+ cDC2	1	-2.1483909784831163	3.639167761386464
121965726623516	spleen	human	8699	0.02954362570410392	CLEC10A- cDC2	3	16.423147689314565	2.5400316667138907
121965727037302	spleen	human	6442	0.03616889164855635	AS DC	6	14.415687653851045	-0.06604790000764983
121965727140723	spleen	human	7197	0.022648325691260247	AS DC	6	12.60548474208669	-1.61095166272157
121965741295845	spleen	human	6077	0.036860292907684715	CLEC10A+ cDC2	0	3.857044555864911	1.9554758910146037
121965741751134	spleen	human	9626	0.03646374402659464	CLEC10A+ cDC2	0	-4.787420575814777	18.4183247272187
121965741783285	spleen	human	8013	0.02346187445401223	CLEC10A+ cDC2	0	-0.08939401742680796	15.260242553375905
121965753879966	spleen	human	8359	0.025002990788371815	CLEC10A+ cDC2	0	-0.8465720458400805	10.318890930475314
121965754149676	spleen	human	8984	0.028829029385574353	CCR7+ cDC2	8	-13.08316090685764	6.609522731957571
121965754346332	spleen	human	8513	0.022318806531187594	CLEC10A+ cDC2	1	-6.48780593170249	-3.5412180013909946
121965773215581	spleen	human	11469	0.025023977678960675	cDC1	5	0.6204153341939901	-17.828975575643305
121965773475051	spleen	human	9146	0.024710255849551718	CLEC10A- cDC2	4	7.248152062014355	6.647709253007895
121965773483380	spleen	human	10143	0.023267277925663018	CLEC10A+ cDC2	0	-2.7953346819455205	12.120934084497389
122282763807003	spleen	human	9486	0.025511279780729496	CLEC10A- cDC2	4	5.198833875693853	4.49776715674762
122282763828588	spleen	human	6067	0.02340530740069227	CLEC10A+ cDC2	1	-11.304303328321453	-0.11743801606776112
122282763839197	spleen	human	9430	0.021739130434782608	cDC1	2	-2.171281372026805	-21.71448781970822
122282776905451	spleen	human	10827	0.023736953911517502	cDC1	5	1.8372053462847628	-19.65550154855518
122282795744676	spleen	human	10165	0.027250368912936546	CCR7+ cDC2	8	-14.82969349934805	10.356914990961325
122293352589109	spleen	human	10198	0.03079035104922534	CLEC10A+ cDC2	0	-6.975240162149189	13.92724661754287
122293352622828	spleen	human	8066	0.028018844532606002	CLEC10A+ cDC2	1	-3.5954597993418154	1.4672377357980868
122293367040867	spleen	human	11294	0.021692934301398972	CLEC10A- cDC2	4	1.1365669818814097	6.943245983477925
122293367290284	spleen	human	9653	0.02714182119548327	CLEC10A+ cDC2	0	2.109408303877897	13.56718772409951
122293367462197	spleen	human	6053	0.03122418635387411	CCR7+ cDC2	8	-14.505934759075796	8.624569496419792
122293379291444	spleen	human	12536	0.021139119336311425	cDC1	2	-1.4732511136476019	-26.678232780767736
122293379582316	spleen	human	10280	0.03346303501945525	AS DC	6	11.208768420209418	1.1783085454351483
122293398755109	spleen	human	13632	0.02494131455399061	CLEC10A+ cDC2	7	-11.394376765769486	16.493676510761265
122308385204077	spleen	human	14052	0.01807571875889553	cDC1	2	-2.9607116646898017	-24.471655866518795
122308399328613	spleen	human	7725	0.031844660194174756	CLEC10A+ cDC2	1	-10.330666762416627	-3.845203574946763
122308399585500	spleen	human	13040	0.027223926380368097	CCR7+ cDC2	8	-13.90027379560513	9.186721663108827
122308399622500	spleen	human	8644	0.02313743637204998	CLEC10A+ cDC2	1	-6.53259294639904	-1.8694580958685725
122308411996006	spleen	human	11841	0.02533569799847986	CLEC10A+ cDC2	0	0.6548413102742101	13.351734127670227
122308412259043	spleen	human	9245	0.038290968090859925	CLEC10A- cDC2	3	18.762091786510283	6.492155831500295
122308412493027	spleen	human	21965	0.034600500796722056	Mitotic cDC1	9	1.4802634091953653	-12.900362905141181
122308431341803	spleen	human	8271	0.03482045701849837	cDC1	2	-5.993478993762451	-25.278167602859867
122308431375140	spleen	human	8895	0.03552557616638561	CLEC10A- cDC2	4	7.479497039089648	5.068712848447642
122308431395062	spleen	human	6171	0.028034354237562793	AS DC	6	7.952180753197516	-2.5540128918502667
122310397708588	spleen	human	8512	0.033717105263157895	cDC1	2	-3.49765613492333	-27.75386867877365
122310398429932	spleen	human	8822	0.021990478349580594	CLEC10A+ cDC2	1	-2.8496638433111454	2.3101878717427375
122310412323757	spleen	human	12737	0.02402449556410458	AS DC	6	5.954803888798329	-2.6938088297875664
122310412324276	spleen	human	12566	0.021406971192105682	CLEC10A+ cDC2	1	-4.173407587961884	6.153142735331626
122310412920566	spleen	human	8416	0.034101711026615966	CLEC10A+ cDC2	1	-7.193136285932657	0.5328551829051941
122310412954403	spleen	human	12806	0.023348430423239107	CLEC10A+ cDC2	0	-11.506539367647973	11.783936092645728
122310413113076	spleen	human	12182	0.023887703168609425	cDC1	2	-0.540744362412114	-27.45109235284632
122310425167717	spleen	human	15726	0.02320997074907796	cDC1	5	-1.3804944145162343	-19.389791657872102
122310425242348	spleen	human	9493	0.0299167807858422	CLEC10A+ cDC2	1	-7.556081540038305	1.6445195238244494
122310425767197	spleen	human	7466	0.030806321993035093	CLEC10A- cDC2	3	15.22545388233533	0.2757541162978904
122428777946397	spleen	human	12197	0.03279494957776503	CLEC10A+ cDC2	7	-10.768949811293002	10.523305282867222
122428777979292	spleen	human	10225	0.026503667481662593	CLEC10A- cDC2	3	11.871383514326428	5.730504503236542
122428778278243	spleen	human	9287	0.03262625174975772	CLEC10A+ cDC2	1	-5.8387991981543665	-3.8441159089546346
122428792630044	spleen	human	9069	0.03815194619031867	CLEC10A- cDC2	3	15.360445706758291	6.895949307833711
122428792658668	spleen	human	12515	0.020775069916100678	cDC1	5	1.2424728817756052	-20.656674184823792
122428793153453	spleen	human	10211	0.026148271471942024	CLEC10A+ cDC2	0	-8.432815543986441	12.811167507635547
122428824447259	spleen	human	11412	0.028478794251664913	CLEC10A+ cDC2	0	-10.90363072157134	11.534484347136615
122428824702301	spleen	human	10766	0.02981608768344789	CLEC10A- cDC2	4	5.565625760399173	6.827605012361199
122436428908966	spleen	human	10186	0.022776359709405065	CLEC10A+ cDC2	0	-5.367279196663992	7.244545981571427
122436428913004	spleen	human	7290	0.04156378600823045	CLEC10A+ cDC2	0	-6.605016310068899	19.091798964709884
122436442770268	spleen	human	7524	0.027777777777777776	CLEC10A+ cDC2	0	-1.0745699738771277	11.035322254303242
122436443291036	spleen	human	8573	0.0253120261285431	CLEC10A+ cDC2	0	1.1148910978424404	9.937090127279392
122436443330461	spleen	human	8401	0.03273419830972503	CLEC10A- cDC2	3	14.128950433483611	1.9257101458085106
122436443629283	spleen	human	8732	0.030119102153000458	CLEC10A+ cDC2	1	-9.436972144511802	2.7638278712739197
122436455651115	spleen	human	9866	0.023109669572268395	CLEC10A+ cDC2	0	-3.897897506971182	11.491576490273637
122436456234205	spleen	human	14207	0.0203420848877314	Mitotic cDC1	9	1.5734489960743974	-16.173042713570617
122436474333933	spleen	human	9317	0.02114414511108726	CLEC10A+ cDC2	1	-2.302117013103778	2.9851021867213037
122436474751349	spleen	human	12010	0.02447960033305579	cDC1	5	1.3758211840072514	-20.407898254977518
122436474813283	spleen	human	10369	0.02960748384607966	AS DC	6	11.718333995822032	-1.5182572405179682
122436474849075	spleen	human	9931	0.038364716544154666	CLEC10A- cDC2	3	18.004121646614994	5.761188920208609
122514677557092	spleen	human	11135	0.023439604849573418	cDC1	2	-0.09779789605602966	-26.28525605224609
122514692007772	spleen	human	11499	0.030785285677015394	CLEC10A+ cDC2	0	3.6168558188749116	4.807948931591364
122514692491678	spleen	human	12292	0.017816465994142532	cDC1	5	-0.6624126004346211	-21.44273854302962
122514692591005	spleen	human	9798	0.024903041437027963	CLEC10A+ cDC2	1	-5.26045533234813	-1.2481397308607807
